pct_tl_open_l6m,pct_tl_closed_l6m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,cc_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_recent_deliquency,max_delinquency_level,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,cc_enq_l12m,pl_enq_l12m,time_since_recent_enq,enq_l3m,netmonthlyincome,time_with_curr_empr,cc_utilization,cc_flag,pl_flag,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,hl_flag,gl_flag,maritalstatus,education,gender,last_prod_enq2,first_prod_enq2,approved_flag
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,11.0,131.27185834895448,3.965761613951505,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0562693098412,0.3174718504001054,16000.0,36.0,0.7689627415383284,0.0,0.0,0.0,0.0,0.0,0.0,Single,OTHERS,M,others,others,P2
0.0,0.0,1.0,0.333,0.333,0.0,0.0,0.0,0.0,1.0,2.0,3.0,51.0,10.0,77.0,20.483344224629587,39.389715350595736,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,30000.0,121.0,0.1410592805797309,0.0,0.0,0.0,0.0,0.0,0.0,Single,12TH,M,others,others,P3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,17.0,65.0,11.217386160194897,20.959239176394615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111058092679986,141.92757998802418,0.3431652563166765,35000.0,275.0,0.5447555816684168,0.0,0.0,0.0,0.0,0.0,1.0,Single,12TH,M,others,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,1341.0,10.0,190.0,2.0,65.22696671107379,190.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1.0,0.0,58.0,1.0,20000.0,39.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,Single,12TH,M,CC,others,P3
0.091,0.091,1.0,0.273,0.091,2.0,0.0,0.0,0.0,9.0,2.0,1.0,37.0,3.0,76.0,16.44224977611405,7.94508458892554,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.0,0.0,10000.0,23.0,0.5071963268237166,0.0,0.0,1.0,0.0,1.0,0.0,Married,12TH,F,PL,others,P2
0.048,0.048,3.0,0.119,0.071,3.0,0.0,1.0,0.0,35.0,7.0,15.0,159.0,4.0,88.0,34.0,183.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,366.0,0.0,25000.0,101.0,0.3354308150976133,0.0,0.0,0.0,0.0,1.0,1.0,Married,SSC,F,HL,HL,P1
0.667,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,2.0,77.0,14.003666559478347,13.256584915960056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,1.0,50000.0,80.0,0.7497298217826097,0.0,0.0,0.0,0.0,0.0,0.0,Single,GRADUATE,M,others,CC,P2
0.3,0.0,2.0,0.5,0.2,2.0,1.0,2.0,0.0,5.0,5.0,2.0,38.0,2.0,68.0,6.0,56.0,2.0,0.0,56.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,3.0,60.0,2.0,50000.0,64.0,1.0,1.0,0.0,0.667,1.0,0.0,1.0,Single,POST-GRADUATE,M,others,others,P2
0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,47.0,2.0,34.0,8.956867856670753,11.08229761736732,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,21000.0,182.0,0.6073636693723216,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,ConsumerLoan,others,P4
0.4,0.2,1.0,0.8,0.2,2.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,3.0,75.0,14.21949025700778,45.885430903420975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,18000.0,217.0,0.6029718873480746,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,HL,ConsumerLoan,P2
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,76.0,7.037069884995789,13.55406795497852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,15000.0,63.0,0.8523478484529154,0.0,0.0,0.0,0.0,0.0,0.0,Single,GRADUATE,M,ConsumerLoan,others,P3
0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,26.0,7.0,99.0,2.838864019709575,15.864104772390464,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,12000.0,40.0,0.648093522853467,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,others,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,19.0,48.0,13.4393914637059,8.504321758413857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,30000.0,62.0,0.638089593935532,0.0,0.0,0.0,0.0,0.0,0.0,Married,GRADUATE,M,others,others,P2
0.429,0.143,1.0,0.714,0.143,0.0,2.0,0.0,1.0,1.0,6.0,0.0,41.0,4.0,33.0,7.715634971915024,43.49661632413276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.0,25000.0,62.0,0.854,1.0,1.0,0.833,1.0,0.0,0.0,Married,GRADUATE,F,PL,others,P2
0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,73.0,11.0,341.0,12.567265317562072,43.8408522021667,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,55000.0,231.0,0.6590546396409365,0.0,0.0,0.0,0.0,1.0,0.0,Married,OTHERS,M,ConsumerLoan,ConsumerLoan,P1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,45.0,277.0,12.788423909490056,24.254323643191217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,40000.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,ConsumerLoan,others,P4
0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,32.0,27.0,92.0,9.378924638557018,37.08909519022299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,25000.0,300.0,0.6260503394587912,0.0,1.0,0.0,0.0,0.0,0.0,Married,SSC,M,others,others,P2
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,19.0,165.26670306348402,13.004211457824937,4.0083776376762685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882479042802804,211.9651361850906,0.3123656797536132,25000.0,54.0,0.5465825578870351,0.0,0.0,0.0,0.0,0.0,0.0,Single,12TH,M,others,others,P2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,105.0,9.017363323429016,15.192436088727671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.0,1.0,15000.0,125.0,0.997398519682664,0.0,0.0,1.0,0.0,0.0,0.0,Married,GRADUATE,M,PL,others,P3
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,83.0,12.26424115404311,20.46284386650756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7415988940816267,0.6516802211836746,84.05480543078839,1.5950387829040285,18500.0,80.0,0.7061325051560419,0.0,0.0,0.0,0.0,0.0,1.0,Married,GRADUATE,F,others,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,49.0,875.0,31.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1481.0,0.0,13000.0,244.0,0.391810717100571,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,others,others,P3
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,33.0,12.0,53.0,15.0,59.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,45000.0,181.0,0.6557979678003484,0.0,0.0,0.0,0.0,0.0,0.0,Married,POST-GRADUATE,M,ConsumerLoan,ConsumerLoan,P3
0.583,0.333,5.0,0.833,0.417,3.0,1.0,0.0,7.0,2.0,10.0,0.0,48.0,2.0,80.0,21.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,13.0,49.0,5.0,20000.0,70.0,1.0,1.0,1.0,0.615,1.0,0.0,0.0,Married,GRADUATE,M,CC,others,P4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,101.0,16.289132675860063,25.78688421969196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.0,0.0,12000.0,191.0,0.7153883716928918,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,PL,others,P2
0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,7.0,40.0,14.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,64.0,4.0,18000.0,105.0,0.599727484764372,0.0,0.0,0.0,0.0,0.0,0.0,Married,UNDER GRADUATE,F,ConsumerLoan,ConsumerLoan,P4
0.714,0.286,2.0,0.714,0.286,2.0,0.0,0.0,2.0,4.0,3.0,5.0,60.0,2.0,83.0,8.38306482405388,21.50306968157979,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,18000.0,25.0,0.7480269194720978,0.0,1.0,1.0,1.0,0.0,0.0,Married,UNDER GRADUATE,M,ConsumerLoan,PL,P3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,14.0,56.0,16.121188488322233,65.87325331374711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,17000.0,50.0,0.087087401163333,0.0,0.0,0.0,0.0,0.0,0.0,Single,UNDER GRADUATE,M,others,others,P2
0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,83.0,5.0,64.0,31.0,599.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,1.0,9.0,2.0,25000.0,182.0,0.6208004821468804,0.0,0.0,1.0,0.0,0.0,0.0,Married,12TH,M,ConsumerLoan,others,P2
0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,59.0,3.0,1084.0,24.0,150.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,83.0,2.0,30000.0,190.0,0.6925726902656748,0.0,0.0,0.0,0.0,0.0,0.0,Married,GRADUATE,M,others,others,P3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,44.0,518.0,28.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1344.0,0.0,16000.0,13.0,0.0071822060826921,0.0,0.0,0.0,0.0,0.0,0.0,Single,SSC,M,others,others,P3
0.667,0.667,2.0,0.667,0.667,0.0,0.0,0.0,1.0,1.0,2.0,0.0,16.0,4.0,81.0,7.463295455176176,3.5738908869418062,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,2.0,15000.0,30.0,0.540355548846746,0.0,1.0,1.0,0.0,0.0,0.0,Single,GRADUATE,M,ConsumerLoan,others,P4
0.6,0.0,0.0,0.6,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,24.0,5.0,62.0,14.453744126789786,4.219320526195324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,4.0,35000.0,110.0,0.6099335311344316,0.0,1.0,0.75,0.0,0.0,0.0,Single,UNDER GRADUATE,M,PL,ConsumerLoan,P4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,8.0,46.0,6.66961157535317,32.774843045080694,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,263.0,0.0,20000.0,122.0,0.3791179998397759,0.0,1.0,0.0,0.0,0.0,0.0,Married,12TH,M,PL,PL,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,64.0,1766.0,18.67546476723482,39.382867713501525,0.0,0.0,9.22090590987596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.957495297021105,1.2660913250600616,15000.0,38.0,0.5500043544738557,0.0,0.0,0.0,0.0,0.0,0.0,Married,UNDER GRADUATE,M,others,others,P2
0.111,0.111,2.0,0.444,0.222,0.0,0.0,0.0,0.0,0.0,9.0,6.0,42.0,6.0,84.0,32.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,184.0,0.0,10000.0,37.0,0.4903666042831693,0.0,0.0,0.0,0.0,0.0,0.0,Single,UNDER GRADUATE,F,PL,ConsumerLoan,P2
0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,24.0,8.0,113.0,7.971348686706023,32.28653139267809,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,241.0,0.0,28000.0,150.0,0.3177809667540105,0.0,1.0,0.0,0.0,0.0,0.0,Married,GRADUATE,M,PL,PL,P2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,8.0,74.0,9.219772003440374,8.810369051674074,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,20000.0,56.0,0.9090264198647522,0.0,0.0,0.0,0.0,0.0,0.0,Single,12TH,M,ConsumerLoan,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0,614.0,5.559995458455267,189.83744725709792,0.0,11.937959746304289,11.937959746304289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,51000.0,145.0,0.7381089535291812,0.0,0.0,0.0,0.0,0.0,0.0,Single,12TH,M,ConsumerLoan,others,P2
0.0,0.556,5.0,0.333,0.556,0.0,0.0,0.0,1.0,1.0,8.0,2.0,39.0,9.0,54.0,10.469101698957743,27.375631314695063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,20000.0,98.0,0.3208051602626501,0.0,1.0,0.0,0.0,0.0,0.0,Married,12TH,F,others,others,P2
0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,9.0,56.0,27.85130702091133,4.711614364176778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,15000.0,41.0,0.796059692752051,0.0,0.0,0.0,0.0,0.0,0.0,Single,12TH,M,ConsumerLoan,others,P2
